3,11,12,14,41,43
8,33,36,37,39,41
1,6,23,24,27,39
3,9,10,13,20,43
5,14,21,31,34,47
8,20,21,25,31,41
18,25,28,33,36,42
7,16,17,31,40,48
5,10,23,27,37,38
4,15,30,37,46,48
7,9,21,33,38,42
11,17,19,20,36,43
7,14,17,20,37,47
25,28,29,30,35,44
8,18,36,39,41,47
9,12,13,14,44,48
4,14,18,40,43,44
13,16,18,34,35,36
11,23,25,28,29,36
7,18,23,25,37,45
11,18,19,31,37,45
8,14,16,18,31,48
4,11,23,24,25,45
3,4,19,33,34,48
5,17,21,28,30,43
6,17,24,36,38,46
4,9,10,11,43,46
7,13,23,32,33,45
11,18,22,28,35,37
25,26,31,35,45,48
11,19,25,31,32,36
8,34,37,39,41,47
5,10,30,35,36,45
8,22,26,27,34,42
3,5,6,33,38,39
10,14,25,31,44,47
11,13,15,16,24,31
11,12,19,25,29,44
2,7,21,22,30,33
11,15,25,38,41,43
2,10,11,31,43,49
21,24,25,32,39,49
4,10,23,38,41,46
20,24,28,35,42,46
1,3,19,31,32,47
3,17,20,30,35,48
18,26,29,35,36,49
2,13,41,42,44,47
7,10,11,16,28,40
6,7,10,32,36,38
2,29,31,40,45,48
4,14,24,31,33,35
7,19,26,28,45,49
9,19,28,36,45,46
4,11,14,20,26,30
5,9,27,39,40,43
16,19,22,29,44,48
11,14,18,31,35,49
22,23,25,26,35,41
3,6,7,33,34,36
9,11,27,28,37,46
1,2,8,23,46,48
9,12,20,21,37,43
9,16,18,20,26,43
1,6,13,15,22,27
23,30,32,33,35,44
9,21,22,29,48,49
1,6,15,34,42,44
1,15,20,22,24,49
13,23,37,43,48,49
2,3,23,26,27,40
8,14,25,32,34,35
1,5,7,8,11,13
18,20,23,26,33,49
1,2,7,13,22,31
4,14,16,30,33,38
3,12,16,21,33,49
3,5,19,26,32,43
1,14,22,25,40,42
7,9,20,28,35,41
1,2,13,21,42,48
7,22,25,27,30,35
1,7,14,31,41,43
2,12,29,31,44,46
